,Short_description,Description,Caller,Assignment_group,clean_desc
7739,circuit outage : usa secondary circuit is down since 06:28pm et on 08/11,"what type of outage:  _____network     __x___circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ___yes______     (yes/no/na) 

2. when did it start  ?   _____06:28pm et on 08/11________________

3.  scheduled maintenance ( power) ? _______    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? _______    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  __yes____    (yes/no/na) 

6. backup circuit active ?   _yes_______     (yes/no/na) 

7. site contact notified (phone/email) ?  __email_______     (yes/no/na) 

8. remote dial-in ?   ___________   (yes/no/na) 

9. equipment reset ?    ___________    (yes/no/na) 

10. verified site working on backup circuit ?  _______     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",vbwszcqn nlbqsuyv,72,circuit outage usa ary down since what type network xcircuit power please specify top cert site yes when do start schedule maintenance company provider maint ticket have backup active contact notify phone email remote dial equipment reset verify work vendor globaltelecom verizon telecomvendor gsc additional diagnostic
7740,abended job in job_scheduler: Job_1623,"received from: monitoring_tool@company.com

 abended job in job_scheduler: Job_1623 at 08/11/16 18:26:27",ZkBogxib QsEJzdZO,56,abended job jobscheduler abende
7741,abended job in job_scheduler: Job_1488,"received from: monitoring_tool@company.com

 abended job in job_scheduler: Job_1488 at 08/11/16 18:22:27",ZkBogxib QsEJzdZO,56,abended job jobscheduler abende
7742,abended job in job_scheduler: Job_1491,"received from: monitoring_tool@company.com

 abended job in job_scheduler: Job_1491 at 08/11/16 18:22:27",ZkBogxib QsEJzdZO,56,abended job jobscheduler abende
7743,abended job in job_scheduler: Job_1493,"received from: monitoring_tool@company.com

 abended job in job_scheduler: Job_1493 at 08/11/16 18:22:27",ZkBogxib QsEJzdZO,56,abended job jobscheduler abende
7744,abended job in job_scheduler: Job_2114,"received from: monitoring_tool@company.com

 abended job in job_scheduler: Job_2114 at 08/11/16 17:32:26",ZkBogxib QsEJzdZO,73,abended job jobscheduler abende
7745,unable to access emails ,unable to access emails ,rbozivdq gmlhrtvp,0,unable access email
7746,abended job in job_scheduler: hr_tooldcvcgenratn,"received from: monitoring_tool@company.com

 abended job in job_scheduler: hr_tooldcvcgenratn at 08/11/16 17:02:26",ZkBogxib QsEJzdZO,56,abended job jobscheduler hrtooldcvcgenratn abende
7747,abended job in job_scheduler: Job_2318,"received from: monitoring_tool@company.com

 abended job in job_scheduler: Job_2318 at 08/11/16 17:01:26",ZkBogxib QsEJzdZO,72,abended job jobscheduler abende
7748,unable to create delivery,"please provide the following:

what order number?  35853596

what material or item number?  10

what warehouse location?   plant_123

issue description / error message?   value of modific counter for document 35853596 in supply_chain is 1, but should be 6",hybiaxlk lawptzir,56,unable create deliveryplease provide the following what order number material item warehouse location plant issue description error message value modific counter for document supplychain but should
7749,erp is down - distributor_tool / company center customers are not able to place transactions,erp is down - distributor_tool / company center customers are not able to place transactions.  customer service is not able to place transactions in ecc ,vbmzgsdk jdmyazti,0,erp down distributortool company center customer be not able place transactionserp transaction service ecc
7750,"md04, display stock, is locking up with create delivery, 30min to 1hr, had to close out window, still didnt process","the window is locked up, can't do screenshots, just a spinning circle",wkeiqpud dzgemhbk,0,display stock lock with create delivery min have close out window still do processthe can not screenshot just spin circle
7751,erp down,"user id - vaugtyghtl
issue - erp down
location - usa
no of users affected - 15+
system - erp SID_34 erp production
issue - just clocking
contact no - 
server name - HostName_196
transaction - md04.
",damuphws arkulcoi,0,erp downuser vaugtyghtl issue down location usa user affect system sid production just clock contact server host transaction
7752,mobile device activation,"mobile device activation


name:mikhghytr karaffa
language:
browser:microsoft internet explorer
email:vfrdxtqw.jfbmsenz@gmail.com
customer number:
telephone:
summary:requesting email to my personal iphone.",vfrdxtqw jfbmsenz,0,mobile device activationmobile activation mikhghytr karaffa language browser microsoft internet explorer email customer number telephone summary request personal iphone
7753,erp produktion hÃ¤ngt bei ot03 auftrÃ¤gen,"ot01 auftrÃ¤ge funktionieren, ot03 auftrÃ¤ge lassen sich nicht bearbeiten ( beim ausliefern)",jftsvazy ypqmliwa,0,erp production hang with ordersot order work can not process delivery
7754,abended job in job_scheduler: Job_1953d,"received from: monitoring_tool@company.com

 abended job in job_scheduler: Job_1953d at 08/11/16 16:08:25",ZkBogxib QsEJzdZO,56,abended job jobscheduler abende
7755,outage on erp SID_34,outage on erp SID_34,fumkcsji sarmtlhy,0,outage erp sid
7756,german call,german call,rbozivdq gmlhrtvp,0,german callgerman call
7757,totalteamsales sproc is not assigning direct team revenue to employees,totalteamsales sproc is not assigning direct team revenue to employees,aofextgk tugywidl,18,totalteamsales sproc not assign direct team revenue employeestotalteamsales employee
7758,skype shows i am online but i am not,"i have noticed that i received by email some messages of skype for business even when i am off line. i did a uacyltoe hxgaycze, i have turned off my pc and smartphone, and from the pc of my colleagues it shows i am ""inactive or away"". then people send me message. ",kbnfxpsy gehxzayq,19,skype show online but noti have notice that email some message for business even when off line do uacyltoe hxgaycze turn and smartphone the colleague inactive away then people send
7759,need ticket  zmm_stock_transfer,"

received from: dqplrwoy.cutpwjie@gmail.com

programdnty zmm_stock_transfer is not processing.  it's been on an eternal circle.

franhtyu â€“ rebalancing not completing.

dqplrwoy cutpwjie
supply chain planner
dqplrwoy.cutpwjie@gmail.com<mailto:dqplrwoy.cutpwjie@gmail.com>


",dqplrwoy cutpwjie,22,need ticket zmmstocktransfer programdnty not process be eternal circle franhtyu rebalancing complete dqplrwoy cutpwjie supply chain planner mailto
7760,install a printer in maintenance area,install a printer in maintenance area,ifsrenpq lkembgtd,23,install printer maintenance areainstall area
7761,network problems (multiple applications are running slow),"how did you determine there are network problems  erp SID_34

is only erp slow ? (please use the quick ticket within the erp folder if only erp is running slow) yes erp slow

are more than one transactions impacted yes 

what erp server are you on (server name is located in the status bar at the bottom 
right of your screen)  HostName_200

do other co-workers also notice slow response times in erp - yes, four users at usa 

what other applications are running slow - erp SID_34

can you access your data files on the server 

any other comments or issues with other systems ?",gbxctqfl akrwmuib,0,network problem multiple application be run slow how do - determine there erp sid only please use the quick ticket within folder yes more than one transaction impact what server locate status bar bottom right screen host other worker also notice response time four user usa can access data file any comment issue with system
7762,application response time (other network resources work normally),"please provide details in the template below (if multiple applications are impacted, please use the quick ticket template in the ""operations"" folder).
site / location :  usa
user id (ad) : dinkifgtrl
system you are seeing performance problems on (please list all) (e.g., crm, erp, bw, bobj): SID_34 erp production //  server name - HostName_201
transactions that are slow (e.g., va01, create an order): quotes and orders // va01, va21
area this belongs to (e.g., sales, finance, markhtyeting etc.):  sales (as per robhyertyj)
how can this issue be replicated by the it support group: 
are other users seeing this? yes, 40+
please attach relevant screenshots and exact times when the issue occurred: attached

user name - robhyertyj l dinfgrtyukins
contact no - ",itylnjqw kqiurhbt,5,application response time other network resource work normally please provide detail the template below multiple be impact use quick ticket operation folder site location usa user dinkifgtrl system - see performance problem list all crm erp bobj sid production server host transaction that slow create order quote and area this belong sale finance markhtyete etc per robhyertyj how can issue replicate support group yes attach relevant screenshot exact when occur dinfgrtyukin contact
7763,check my security for the ethics collaboration_platform page,"

received from: azxhejvq.fyemlavd@gmail.com

hi,
please check my security for the ethics collaboration_platform page.  i am trying to upload a file to the ""procedures"" category folder.  i was able to upload to the noname category, but for some reason i cannot upload into procedures.  i suspect a security setting.




[cid:image001.png@01d1f3e3.d3542d50]

mikhghytr wafglhdrhjop
sr. manager, global ethics and compliance programdntys



",azxhejvq fyemlavd,20,check security for the ethic collaborationplatform page please try upload file procedure category folder be able but some reason can not into suspect set cid mikhghytr wafglhdrhjop manager global and compliance programdntys
7764,problem,"

received from: vkzwafuh.tcjnuswg@gmail.com

hi,
when i try to submit a discount form i get the below error. please advise.

[cid:image001.jpg@01d1f3d7.bdb9e590]

vkzwafuh tcjnuswg - cmp
sr. application eng.
vkzwafuh.tcjnuswg@gmail.com


",vkzwafuh tcjnuswg,0,problem when try submit discount form get the below error please advise cid vkzwafuh tcjnuswg cmp application eng
7765,abended job in job_scheduler: Job_1967d,"received from: monitoring_tool@company.com

 abended job in job_scheduler: Job_1967d at 08/11/16 14:53:25",ZkBogxib QsEJzdZO,56,abended job jobscheduler abende
7766,site contact reported circuit outage in south amerirtca,"santiago-south amerirtca has reported that today (11/08/2016) between 12:40pm and 1:10pm (30 minutes), the dmvpn was not working. they have contacted the local isp which confirmed that the internet circuit was working fine.
could you please investigate the logs of the router and let us know your findings?
i am surprised that datacenter team did not contacted us about that issue.
 ",kbnfxpsy gehxzayq,34,site contact report circuit outage south amerirtcasantiago amerirtca have that between and minute the dmvpn be not work - local isp which confirm internet fine could please investigate log router let know finding surprised datacenter team do about issue
